product_id,tn_real_feb2020
20001,1120.5152057886903
20004,527.4765193645338
20005,563.0502718886671
20006,742.2926956226393
20007,415.0343653435895
20012,335.7107116315555
20017,226.09068846871062
20018,361.54187076346216
20021,300.47140148311735
20024,248.43574957097584
20025,322.42571970502814
20026,251.58441465931983
20027,245.8810922159525
20032,362.94279891519295
20037,236.53548313578443
20041,122.9056399110489
20046,114.98390810797953
20049,115.52487635009038
20050,145.83951045139892
20051,91.38566794639513
20053,176.43707318096529
20054,137.48178540334445
20059,146.88188464128808
20075,78.95224428953486
20089,240.34761871703893
